Id,SalePrice
1461,112128.0
1462,158720.0
1463,186368.0
1464,196608.0
1465,204800.0
1466,169472.0
1467,174592.0
1468,156160.0
1469,211968.0
1470,114176.0
1471,154112.0
1472,96768.0
1473,93184.0
1474,145408.0
1475,105984.0
1476,375296.0
1477,262144.0
1478,311296.0
1479,303104.0
1480,484864.0
1481,308736.0
1482,203264.0
1483,176640.0
1484,160768.0
1485,177664.0
1486,187904.0
1487,334848.0
1488,219136.0
1489,203264.0
1490,256000.0
1491,200704.0
1492,101888.0
1493,185344.0
1494,304128.0
1495,288256.0
1496,243712.0
1497,175104.0
1498,175616.0
1499,161792.0
1500,148480.0
1501,195584.0
1502,132608.0
1503,356864.0
1504,232448.0
1505,223232.0
1506,192000.0
1507,256512.0
1508,195584.0
1509,154112.0
1510,143360.0
1511,160256.0
1512,174592.0
1513,150016.0
1514,169472.0
1515,207360.0
1516,152064.0
1517,182272.0
1518,121344.0
1519,220672.0
1520,118272.0
1521,134144.0
1522,187392.0
1523,111104.0
1524,122880.0
1525,115712.0
1526,103936.0
1527,101376.0
1528,130048.0
1529,160256.0
1530,211456.0
1531,129024.0
1532,92160.0
1533,166400.0
1534,126464.0
1535,150528.0
1536,92672.0
1537,45568.0
1538,151040.0
1539,205824.0
1540,118272.0
1541,141824.0
1542,166400.0
1543,186880.0
1544,74752.0
1545,119296.0
1546,137216.0
1547,135168.0
1548,150528.0
1549,125440.0
1550,142848.0
1551,103936.0
1552,152064.0
1553,156672.0
1554,112640.0
1555,157184.0
1556,2761944627162624.0
1557,140288.0
1558,107008.0
1559,60416.0
1560,116224.0
1561,149504.0
1562,130560.0
1563,128512.0
1564,162304.0
1565,157696.0
1566,227328.0
1567,71168.0
1568,219648.0
1569,135168.0
1570,124928.0
1571,80896.0
1572,150528.0
1573,266752.0
1574,135168.0
1575,231936.0
1576,229888.0
1577,180736.0
1578,157696.0
1579,133120.0
1580,189440.0
1581,152064.0
1582,133632.0
1583,281600.0
1584,219648.0
1585,133632.0
1586,80896.0
1587,102912.0
1588,151552.0
1589,104448.0
1590,122368.0
1591,89600.0
1592,126976.0
1593,128000.0
1594,3.143974331260664e+17
1595,117248.0
1596,229888.0
1597,209408.0
1598,212480.0
1599,193536.0
1600,171520.0
1601,51200.0
1602,128000.0
1603,36864.0
1604,271872.0
1605,222720.0
1606,147968.0
1607,166912.0
1608,199168.0
1609,189952.0
1610,149504.0
1611,126464.0
1612,185856.0
1613,162816.0
1614,136704.0
1615,95744.0
1616,72192.0
1617,83968.0
1618,134144.0
1619,142848.0
1620,189440.0
1621,129536.0
1622,150016.0
1623,254464.0
1624,197632.0
1625,116224.0
1626,166912.0
1627,190976.0
1628,275456.0
1629,176640.0
1630,365568.0
1631,253440.0
1632,250880.0
1633,170496.0
1634,180736.0
1635,168960.0
1636,143872.0
1637,200192.0
1638,176640.0
1639,181248.0
1640,235008.0
1641,180736.0
1642,250368.0
1643,218112.0
1644,235520.0
1645,217088.0
1646,155136.0
1647,155648.0
1648,127488.0
1649,125952.0
1650,104448.0
1651,111616.0
1652,97792.0
1653,93696.0
1654,144896.0
1655,120832.0
1656,140800.0
1657,154624.0
1658,145408.0
1659,126464.0
1660,148480.0
1661,439808.0
1662,386048.0
1663,386560.0
1664,533504.0
1665,332800.0
1666,324096.0
1667,376320.0
1668,359936.0
1669,317952.0
1670,363008.0
1671,268800.0
1672,408064.0
1673,289792.0
1674,245760.0
1675,202240.0
1676,205312.0
1677,216064.0
1678,473088.0
1679,388096.0
1680,341504.0
1681,279552.0
1682,320000.0
1683,190976.0
1684,168448.0
1685,168448.0
1686,160256.0
1687,160768.0
1688,180224.0
1689,183808.0
1690,186880.0
1691,175616.0
1692,246784.0
1693,168448.0
1694,180736.0
1695,166400.0
1696,262656.0
1697,175616.0
1698,341504.0
1699,333312.0
1700,271360.0
1701,279040.0
1702,236544.0
1703,228352.0
1704,268288.0
1705,239616.0
1706,189952.0
1707,224768.0
1708,202240.0
1709,247296.0
1710,219136.0
1711,267776.0
1712,253440.0
1713,281600.0
1714,227328.0
1715,207872.0
1716,186368.0
1717,174080.0
1718,152576.0
1719,225792.0
1720,252416.0
1721,145920.0
1722,116736.0
1723,148992.0
1724,218112.0
1725,241152.0
1726,186368.0
1727,151040.0
1728,153088.0
1729,173568.0
1730,168960.0
1731,109568.0
